LU_CODE,VIIRS_AREA (km2),MODIS_AREA (km2),HIMAWARI_AREA (km2)
A001,0.23804999999999996,,
A100,1.4282999999999997,1.0,12.0
A101,103.19467499999998,62.0,1168.0
A101+A202,0.23804999999999996,,
A200,29.518199999999993,9.0,176.0
A201,0.23804999999999996,,
A202,235.66949999999994,118.0,1436.0
A203,9.521999999999998,4.0,160.0
A204,29.399174999999993,24.0,188.0
A205,14.997149999999998,6.0,220.0
A205/A427,0.11902499999999998,,
A206,0.23804999999999996,,
A210,1.0712249999999996,,12.0
A212,0.3570749999999999,,
A216,3.2136749999999994,2.0,48.0
A229,0.11902499999999998,,
A300,0.3570749999999999,,
A301,0.23804999999999996,,
A301/A401,0.11902499999999998,,
A301/A411,,,4.0
A302,17.139599999999994,8.0,108.0
A303,0.3570749999999999,,4.0
A304,9.283949999999997,5.0,20.0
A304/A305,0.23804999999999996,,8.0
A305,79.62772499999998,40.0,280.0
A305/A306,0.11902499999999998,,
A305/A318,0.4760999999999999,1.0,
A305/A401,0.4760999999999999,,8.0
A305/A407,0.7141499999999998,,
A305/A412,0.11902499999999998,,
A305/A413,0.3570749999999999,,
A309,0.11902499999999998,,
A315,2.1424499999999993,2.0,16.0
A318,13.3308,10.0,152.0
A318/A401,0.4760999999999999,,
A318/A413,0.11902499999999998,,
A323/A411,0.11902499999999998,,
A400,0.7141499999999998,1.0,
A401,1.9043999999999996,,16.0
A402,,,4.0
A406,1.1902499999999998,2.0,
A406/A412,0.11902499999999998,,
A406/A413,0.11902499999999998,,
A407,4.641974999999999,3.0,84.0
A407/A411,0.11902499999999998,,
A407/A413,0.4760999999999999,,
A409,,,20.0
A411,0.9521999999999998,,
A412,1.1902499999999998,3.0,12.0
A412/A413,0.3570749999999999,1.0,
A413,9.879074999999998,8.0,48.0
A416/A427,0.11902499999999998,,
A417,0.11902499999999998,,
A422,0.5951249999999999,,
A502,0.11902499999999998,,12.0
A600,7.736624999999998,2.0,108.0
A602,15.830324999999998,11.0,48.0
A616,1.66635,,28.0
A701,0.11902499999999998,,
A702,0.3570749999999999,,
A703,0.23804999999999996,,
A704,,1.0,
F101,259.831575,106.0,2136.0
F200,34.51725,13.0,300.0
F201,3135.4755749999995,1052.0,10908.0
F501,3.8087999999999993,1.0,12.0
M101,2.1424499999999993,,32.0
M102,15.830324999999998,10.0,92.0
M201,2.8565999999999994,,
M201+A101,0.3570749999999999,,12.0
M300,1.66635,,
M301,4.284899999999999,4.0,4688.0
M302,1.309275,1.0,4.0
M303,0.11902499999999998,,
M304,0.9521999999999998,,
M405,0.4760999999999999,2.0,8.0
M701,0.4760999999999999,,
U101,1.0712249999999996,3.0,3812.0
U201,13.568849999999998,11.0,476.0
U202,0.5951249999999999,2.0,16.0
U301,7.141499999999999,5.0,104.0
U405,1.66635,1.0,16.0
U500,0.11902499999999998,,
U502,12.259574999999998,3.0,16.0
U503,0.4760999999999999,1.0,
U601,0.3570749999999999,,
U602,0.11902499999999998,,
U603,0.3570749999999999,,
W101,4.52295,4.0,24.0
W102,0.4760999999999999,,8.0
W201,13.568849999999998,5.0,1240.0
W202,0.5951249999999999,,
W203,0.11902499999999998,,
